rater1;rater2;rater3;rater4
mild;mod;mod;mod
mild;mild;mild;mild
mild;sev;sev;sev
mod;mod;mod;sev
sev;sev;sev;sev
mod;mod;sev;sev
mild;mild;sev;sev
mild;mild;mild;sev
mild;mild;mild;mod
mod;sev;sev;sev
mild;sev;sev;sev
mild;mild;mild;mild
mod;sev;sev;sev
mod;mod;mod;mod
mild;mild;mild;sev
mild;mod;sev;sev
mod;sev;sev;sev
mild;mod;mod;mod
sev;sev;sev;sev
mild;mod;mod;sev
mild;mild;mild;mild
mild;mod;mod;mod
mod;mod;mod;sev
sev;sev;sev;sev
mild;mild;mod;mod
mod;mod;mod;mod
mild;mild;mild;sev
